Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Full_Part_Time_Empl_Ind,Perm_Temp_Empl_Ind,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau Data - Monthly_Other_Co_Repayments,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Total # Public Info. (Court + bankruptcies),Total value Public Info. (Court + bankruptcies),Time since most recent Public Info.  mnths,Total_value__CAIS_8_9s,Worst_status_L6m,Worst_CUrrent_Status,__of_status_3_s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total outstanding balance (excl. mortgages),Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
1,918,A,36,3000,14.4,UnSecured,46,8,132,H,Y,0,M,M,288,S,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,168,"178,000.00",47679,64406,513,5,D,46,64,1,5,16,0,0,0,0,9,10,N,1,18,6,N,16,,0,,,,0,0,0
3,903,A,120,21000,7.9,secured  ,16,3,288,H,Y,0,S,F,37,R,P,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,300,"180,000.00",11563,31614,331,5,D,59,13,0,0,99,0,1,0,0,6,22,N,0,203,8,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
4,1060,X,78,7200,7.9,secured  ,17,3,276,H,Y,0,M,M,154,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,369,"199,000.00",17563,26045,413,0,D,56,19,2,30,50,266,0,0,0,1,21,N,1,87,7,N,50,Joint                     ,1,719,LASCI JOINT,Joint,0,1,0
6,839,B,60,8000,16.9,UnSecured,47,8,48,R,Y,0,M,M,82,G,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,216,"120,000.00",0,181217,1112,5,D,33,160,0,0,99,1,1,0,0,5,0,N,0,229,9,N,99,Life & Critical Illn      ,1,748,LIFE & CRITICAL ILLNESS,LCI,0,0,1
7,1057,X,60,7650,7.4,UnSecured,55,10,156,H,Y,2,M,M,342,S,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,510,"180,000.00",60101,63811,435,0,D,49,62,0,0,99,0,0,0,0,1,13,N,0,38,6,N,99,Single                    ,1,718,LASCI,Single,1,0,0
8,913,A,120,33000,9.4,secured  ,59,11,18,H,Y,0,M,M,170,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,"205,000.00",166543,219003,1256,0,D,45,168,0,0,99,0,0,0,0,1,1,N,0,525,9,N,99,Single                    ,1,715,LASU,Single,1,0,0
9,840,B,60,8000,15.9,UnSecured,12,2,293,H,Y,0,M,M,77,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,317,"179,000.00",78823,90797,677,0,D,51,80,0,0,99,11,1,1,0,1,21,N,0,120,9,N,99,Single                    ,1,718,LASCI,Single,1,0,0
10,961,X,60,5300,11.9,secured  ,43,7,163,H,N,2,M,M,351,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,243,"92,000.00",73386,84624,800,0,D,49,75,4,96,7,175,0,0,0,6,8,N,4,113,8,N,7,,0,,,,0,0,0
11,901,A,60,12000,11.9,UnSecured,11,2,108,H,Y,1,M,M,24,P,F,P,6,TRUE,TRUE ,TRUE ,TRUE ,FALSE,TRUE,FALSE ,180,"180,000.00",149254,158678,1300,5,D,55,151,0,0,99,0,1,1,0,5,8,N,0,95,9,N,99,LASCI                     ,1,751,LASCI,Single,1,0,0
13,915,A,60,6000,12.9,UnSecured,49,9,36,T,Y,0,S,F,72,D,F,P,2,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,384,"120,000.00",0,2785,0,0,D,48,0,0,0,99,0,0,0,0,2,3,N,0,28,4,N,99,Life & CI                 ,1,713,LIFE & CRITICAL ILLNESS,LCI,0,0,1
17,840,B,120,10150,12.4,secured  ,24,4,37,H,Y,2,M,M,58,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,261,"110,000.00",97253,109231,706,4,D,27,99,0,0,99,27,0,0,0,4,3,N,0,120,7,N,99,,0,,,,0,0,0
